0,30/12/2020 13:17,Mojito,5.5
1,27/12/2020 11:06,Sidecar,11
2,25/12/2020 17:40,Snowball,11
3,28/12/2020 08:55,Limeade,3.5
4,30/12/2020 20:10,Limeade,3.5
5,30/12/2020 11:03,Vesuvio,3
6,30/12/2020 21:33,Irish Coffee,7.5
7,30/12/2020 05:04,Irish Coffee,7.5
8,28/12/2020 09:33,Penicillin,5
9,28/12/2020 11:41,Bijou,4
10,31/12/2020 08:01,After sex,7.5
11,26/12/2020 12:22,Long Island Iced Tea,3
12,30/12/2020 02:33,Raspberry Cooler,3.5
13,28/12/2020 06:25,Limona Corona,4.2
14,31/12/2020 19:46,White Lady,6.5
15,29/12/2020 16:14,Orgasm,5.15
16,26/12/2020 01:12,Limeade,3.5
17,30/12/2020 11:52,Snowball,11
18,26/12/2020 07:26,Munich Mule,12
19,30/12/2020 22:24,Jelly Bean,3
20,27/12/2020 11:07,Orangeade,4.99
21,28/12/2020 23:37,Campari Beer,7.5
22,28/12/2020 04:32,Grizzly Bear,12
23,28/12/2020 16:31,Russian Spring Punch,7.5
24,26/12/2020 00:51,Pure Passion,2.99
25,27/12/2020 20:34,Dry Martini,8
26,26/12/2020 22:49,Victor,4.2
27,28/12/2020 22:08,Bellini,2.99
28,26/12/2020 05:39,Winter Rita,5.5
29,27/12/2020 05:38,Orangeade,4.99
30,29/12/2020 17:39,Creme de Menthe,3.5
31,30/12/2020 08:13,Shot-gun,7.5
32,25/12/2020 17:53,Kiwi Papaya Smoothie,5.15
33,28/12/2020 20:00,Boston Sour,5
34,31/12/2020 01:46,Royal Gin Fizz,7.5
35,26/12/2020 01:04,Victory Collins,7.5
36,31/12/2020 23:21,Hunter's Moon,3
37,26/12/2020 18:28,Bob Marley,4
38,27/12/2020 01:16,Rusty Nail,4
39,28/12/2020 19:50,Cream Soda,5.15
40,26/12/2020 06:58,Bellini,2.99
41,25/12/2020 18:50,Cream Soda,5.15
42,31/12/2020 04:00,Dry Martini,8
43,29/12/2020 18:42,Iced Coffee Fillip,5
44,27/12/2020 08:57,Holloween Punch,4.2
45,30/12/2020 05:59,Kool-Aid Slammer,3
46,28/12/2020 22:05,Yoghurt Cooler,3.5
47,26/12/2020 23:47,Limona Corona,4.2
48,28/12/2020 15:20,Broadside,5.5
49,27/12/2020 23:52,Grim Reaper,4
50,26/12/2020 01:26,Bijou,4
51,28/12/2020 15:07,Limeade,3.5
52,31/12/2020 18:25,Corpse Reviver,5.15
53,26/12/2020 18:19,Dry Martini,8
54,29/12/2020 06:51,B-53,5.15
55,27/12/2020 20:13,Whitecap Margarita,4.99
56,29/12/2020 08:54,Queen Charlotte,8
57,25/12/2020 22:21,Limeade,3.5
58,29/12/2020 07:58,Limeade,3.5
59,31/12/2020 11:24,Radioactive Long Island Iced Tea,7.5
60,28/12/2020 04:20,Snowball,11
61,26/12/2020 07:14,Long Island Iced Tea,3
62,30/12/2020 17:14,Bellini,2.99
63,31/12/2020 04:40,Victor,4.2
64,30/12/2020 03:52,Zimadori Zinger,12
65,30/12/2020 10:08,Snowball,11
66,31/12/2020 15:05,Lassi - Sweet,8
67,28/12/2020 20:28,Kill the cold Smoothie,11
68,27/12/2020 15:09,Tom Collins,5.5
69,27/12/2020 03:06,Jack's Vanilla Coke,6.5
70,30/12/2020 20:20,Vodka And Tonic,11
71,26/12/2020 01:07,Broadside,5.5
72,27/12/2020 16:13,Sidecar,11
73,28/12/2020 09:48,Van Vleet,4.2
74,28/12/2020 11:22,Bellini,2.99
75,25/12/2020 18:54,Kurant Tea,3
76,29/12/2020 09:33,Bellini,2.99
77,28/12/2020 12:58,Godfather,6.5
78,26/12/2020 17:53,The Laverstoke,7.5
79,31/12/2020 22:44,Valencia Cocktail,5.5
80,29/12/2020 14:35,Bellini,2.99
81,31/12/2020 19:22,Victory Collins,7.5
82,31/12/2020 11:10,Gin Fizz,2.99
83,27/12/2020 01:05,Horse's Neck,7.5
84,30/12/2020 19:10,Cream Soda,5.15
